Freq (GHz),Gain (dB),NF (dB),IIP3 (dBm)
2,-11,11,25
2.5,-7,7,18
3,-7,7,17.5
4,-8,8,18
5,-8.5,8.5,17
6,-8.5,8.5,20
7,-8.5,8.5,22
8,-10.5,10.5,27.5
8.5,-12.5,12.5,27
9,-16.5,16.5,27
