Freq (GHz),Gain (dB),NF (dB),IIP3 (dBm)
0.4,11.5,15.7,30
1.9,12.3,16,26
3.5,11,17.9,27
5.8,9.2,21.2,24
7.2,7,23.5,24
8.5,5.2,28.6,27
