Freq (GHz),Gain (dB),NF (dB),IIP3 (dBm)
0,20,1.6,17
1,20,1.6,17
2,19.9,1.7,17.1
3,19.8,1.8,16.7
4,19.65,1.9,16.35
5,19.5,2.05,15.5
6,19.65,2.2,15.35
7,19.8,2.5,15.2
8,19.7,2.9,15.1
8.5,19,3.2,15.3
9,18,3.7,16
9.5,17,4,16
10,15,4.3,17
