Freq (GHz),1k,10k,30k,100k,300k,1M,10M,100M,400M
2,-104,-130,-132,-131,-130,-140,-160,-163,-163
3,-102,-128,-130,-129,-128,-138,-159,-163,-163
4,-98,-124,-126,-125,-124,-134,-157,-163,-163
6,-96,-122,-124,-123,-122,-132,-153,-163,-163
8,-92,-118,-120,-119,-118,-128,-151,-160,-160
10,-91,-117,-119,-118,-117,-127,-149,-159,-159
12,-90,-116,-118,-117,-116,-126,-147,-158,-158
