Freq (GHz),ADCFS (dBm),NSD (dBFS),IIP3 (dBm)
0,4,-155,35
0.1,4,-155,35
0.2,4,-155,35
0.5,4,-154.9,35
1,4,-154.7,35
2,4,-154.5,35
